code	parent	section	saptextdk
101577	0	11	RAPID K1 HÆFTETANG KROM
101679	0	4	LYRECO EP-V LASERTONER
101681	0	11	LYRECO HD100 BLOKHÆFTER
101748	0	11	LYRECO TORONTO HÆFTETANG KROM
101863	0	11	LYRECO LANGHÆFTER HÆFTEMASKINE
101896	0	11	LYRECO HD200 BLOKHÆFTER
102002	0	11	RAPID 90E EL-HÆFTEMASKINE HVID
102024	0	9	ERGONOMISK HÆFTEKLAMMEFJERNER
102057	0	3	SONY 4MM DATATAPE 125M 12GB DDS-3
102068	0	9	ÆSK5000 LYRECO 24/6 HÆFTEKLAMMER
102148	0	9	ÆSK5000 IMPEGA NR.10 HÆFTEKLAMMER
102194	0	11	ÆSK1000 LYRECO 23/17 HÆFTEKLAMMER
102206	0	11	ÆSK1000 LYRECO 23/23 HÆFTEKLAMMER
102274	0	11	ÆSK5X210 LEITZ K-6 HÆFTEKLAMMER  BLÅ
102285	0	11	ÆSK5X210 LEITZ K-6 HÆFTEKLAMMER  GUL
102296	0	11	ÆSK5X210 LEITZ K-6 HÆFTEKLAMMER  GRØN
102308	0	11	ÆSK5X210 LEITZ K-6 HÆFTEKLAMMER  RØD
102319	0	11	LEITZ BLOKHÆFTER 5551 SØLVGRÅ/SORT
102401	0	11	ÆSK5000 RAPID 65/6 HÆFTEKLAMMER
102558	0	9	ÆSK1000 IMPEGA 24/6 HÆFTEKLAMMER
102638	0	11	ÆSK1000 IMPEGA NR.10 HÆFTEKLAMMER
102649	0	11	ÆSK5000 RAPID 66/8+ HÆFTEKLAMMER
102695	0	9	ÆSK5000 IMPEGA 26/6 HÆFTEKLAMMER
102707	0	9	ÆSK1000 IMPEGA 26/6 HÆFTEKLAMMER
103062	0	14	ÆSK50 LYRECO SPIRALRYGGE 28MM SORT
103073	0	11	ÆSK100 LYRECO CLIPS 77 MM RIFLEDE
103118	0	11	ÆSK1000 LYRECO CLIPS 25 MM
103131	0	11	ÆSK100 LYRECO CLIPS 25 MM
103299	0	11	ÆSK100 LYRECO CLIPS 25 MM ASS. FARVER
103517	0	11	ÆSK100 LYRECO CLIPS 50 MM
103528	0	9	ÆSK100 HJØRNEKLEMMER SØLV
103596	0	9	LYRECO MEMO BLOK 76X76MM GUL
103608	103596	9	LYRECO MEMO BLOK 76X127MM GUL
103643	0	9	POST-IT 660 LARGE NOTES LIN. 102X152MM
103687	103596	9	PK12 LYRECO MEMO BLOK 38X51MM GUL
103803	107101	7	PK1200 AVERY L7164 ETIKET 63,5X72,0 MM
103916	0	8	POST-IT 330  Z-NOTES 76X76MM GUL
103927	103916	8	POST-IT 350 Z-NOTES 76X127MM GUL
103938	0	7	PK3 POST-IT 653-1 MEMO 38X51MM GENBRUG
103949	103938	7	POST IT 654-1 MEMO 76X76MM GENBRUG
103951	103938	7	POST IT 655-1 MEMO 76X127MM GENBRUG
104134	0	7	ÆSK25 LYRECO KONGRESMÆRKE 40X60MM
104145	104134	7	ÆSK50 LYRECO KONGRESMÆRKE 55X89MM
104156	0	7	PS10 LYRECO BORDNAVNESKILTE12X4,5
104167	0	7	ÆSK30 LYRECO KONGRESMÆRKE 60X90 MM
104555	104998	13	ÆSK200 LYRECO SPIRALRYGGE 6MM BLÅ
104759	0	14	ÆSK100 LYRECO SPIRALRYGGE 8MM BLÅ
104772	0	14	ÆSK50 LYRECO SPIRALRYGGE 25MM HVID
104783	104772	14	ÆSK50 LYRECO SPIRALRYGGE 25MM SORT
104806	0	13	ÆSK100 LYRECO SPIRALRYGGE 12 MM BLÅ
104839	0	13	ÆSK100 LYRECO SPIRALRYGGE 10 MM BLÅ
104896	0	13	ÆSK100 OMSLAG T/SPIRALIND. KARTON HVID
104998	0	14	ÆSK200 LYRECO SPIRALRYGGE 6MM HVID
105002	104998	14	ÆSK200 LYRECO SPIRALRYGGE 6MM SORT
105013	104759	14	ÆSK100 LYRECO SPIRALRYGGE 8MM HVID
105024	104759	14	ÆSK100 LYRECO SPIRALRYGGE 8MM SORT
105046	0	13	ÆSK200 LYRECO SPIRALRYGGE 4MM SORT
105057	104839	14	ÆSK100 LYRECO SPIRALRYGGE 10 MM HVID
105068	104839	14	ÆSK100 LYRECO SPIRALRYGGE 10 MM SORT
105079	104896	14	ÆSK100 OMSLAG T/SPIRALIND. KARTON BLÅ
105081	104896	13	ÆSK100 OMSLAG T/SPIRALIND. KARTON RØD
105092	104806	14	ÆSK100 LYRECO SPIRALRYGGE 12 MM HVID
105104	104806	14	ÆSK100 LYRECO SPIRALRYGGE 12MM SORT
105137	0	14	ÆSK150 LYRECO SPIRALRYGGE 16 MM HVID
105148	105137	14	ÆSK150 LYRECO SPIRALRYGGE 16 MM SORT
105172	0	14	ÆSK100 LYRECO SPIRALRYGGE 20MM HVID
105183	105172	14	ÆSK100 LYRECO SPIRALRYGGE 20MM SORT
105194	0	14	ÆSK100 PLASTFORSIDER T/INDBINDING 200MY
105228	0	4	HP 27A C4127A LASERTONER
105296	105228	5	HP 27X C4127X LASERTONER STOR SORT
105569	0	9	BLOKHOLDER A4 TRANSPARENT BLÅ
105662	103916	7	POST-IT 330 NEON Z-NOTES 76X76MM GUL
105673	0	7	3M 680-1 POST-IT INDEX STANDARD 25X44 RØ
105684	105673	7	3M 680-2 POST-IT INDEX STANDARD 25X44 BL
105695	105673	7	3M 680-5 POST-IT INDEX STANDARD 25X44 GU
105707	105673	7	3M 680-3 POST-IT INDEX STANDARD 25X44 GR
106107	0	8	POST-IT 656 MEMO BLOK 50X76MM GUL
106131	0	9	POST-IT 657 MEMO BLOK 76X102MM GUL
106164	106131	9	POST-IT 655 MEMO BLOK 76X127MM GUL
106175	106131	9	POST-IT 654 MEMO BLOK 76X76MM GUL
106186	106131	9	PK12 POST-IT 653 MEMO BLOK 38X51MM
106346	103643	9	POST-IT 659 LARGE NOTES ULIN. 102X152MM
106357	103643	9	POST-IT 662 LARGE NOTES KVADR. 102X152MM
106368	0	9	LYRECO KUBUSBLOK 76X76MM HVID
106541	0	9	LYRECO KUBUS BLOK 90X90X90 HVID LØSE ARK
106916	0	4	LYRECO EP-W LASERTONER
107101	0	7	PK1000 AVERY L7173 ETIKET 99,1X57
107112	0	7	PK400 AVERY L7169 ETIKET 139X99,1MM
107123	0	7	PK1625 AVERY L7651 ETIKET 38,1X21,2 MM
107509	0	7	PK1625 AVERY J8651 QDRY ETIKET 38,1X21,2
107533	0	4	KYOCERA TK-20H LASERTONER
107794	0	0	POST-IT 682-3 INDEX LARGE GRØN
107806	0	0	POST-IT 682-2 INDEX LARGE BLÅ
107817	0	0	POST-IT 682-1 INDEX LARGE RØD
108252	0	11	TELEFONSVINGARM TA-001
108514	105673	7	3M 680-4 POST-IT INDEX STANDARD 25X44 OR
108673	0	6	CASIO ADAPTER TIL HR 150TEC/HR 8TEC
108695	0	10	MULTIFORM TELEVARIO TELEFONSVINGARM
109324	0	11	ÆSK100G LYRECO NR.16 GUMMIBÅND 60X2MM
109346	0	11	ÆSK100G LYRECO NR.18 GUMMIBÅND 80X2MM
109357	0	11	ÆSK100G LYRECO GUMMIBÅND 100X2MM BRUN
109368	0	11	ÆSK100G LYRECO NR.22 GUMMIBÅND 120X2MM
109654	0	4	FELLOWES C-320C DOK.FÖRSTÖRARE CROSS CUT
109698	109778	6	PK50 FELLOWES PL.POSE MAKULERING 53/75L
109756	0	11	ÆSK100G LYRECO GUMMIBÅND 200X18MM BRUN
109778	0	6	PK50 FELLOW PLASTPOSER T/MAKULERING 148L
110647	0	10	ÆSK20 MARKERINGSFLAG 18X10MM ASS.
110705	0	11	ÆSK100 TEGNESTIFTER MESSING
111732	107101	7	PK2400 AVERY L7159 ETIKET 63,5X33,9 MM
